uid,email,age,product_name,product_type,quantity,purchase_price,purchase_date,purchase_address,long,lat
evek1lrur3le1s8rcqie8r6auwqj,e57wv@gmail.com,56.0,GD GCPN 250ML,minuman manis,1,7700.0,2024-09-17,,110.43611714217,-0.772821951355521
kpyk3qgpuefvd4b9h4eszricpdcm,yqj8w@gmail.com,44.0,TESSA FAC LOONEY TP3,personal hygiene,1,7500.0,2024-06-22,,110.435579106906,-0.772541064363005
h7bl25tl25m3tlkejl2l66wt7d3w,op6wj@gmail.com,21.0,KUSUKA LH 60G,makanan gurih,4,6500.0,2024-07-15,,110.435436986626,-0.774229668959178
0zibfx7nflamwhywmxj8k7tmf85c,scqai@gmail.com,56.0,AQUA AIR MINERAL 600,minuman sehat,1,3500.0,2024-11-13,,110.435510824198,-0.772882341377351
ftqoyk4fq7213ga30sh03yek1eha,4zvdi@gmail.com,58.0,POKKA GRN TEA NS 450,minuman sehat,4,10200.0,2024-05-24,,110.434134970364,-0.774153276989256
aocoaouae82a2n4njs23s5la63b3,smjmc@gmail.com,26.0,GG SURYA 12,produk dewasa,3,27200.0,2024-09-13,,110.435041383445,-0.773947846894077
em1tb069kkesc17xqiv3cgw7fso4,628ho@gmail.com,52.0,KUSUKA LH 60G,makanan gurih,4,6500.0,2024-01-15,,110.437096315988,-0.774232456439411
e7lwzpqywdlsu75v0oz4zipe2kou,q6lre@gmail.com,28.0,GATSBY CLG. D/OCN. 175,personal hygiene,4,22000.0,2024-03-13,,110.436069365991,-0.773092224851385
pahle977w7o5yn949h2w4a7ipaku,e536m@gmail.com,17.0,CIMORY BLYC120G,minuman manis,1,8500.0,2024-03-06,,110.436569464822,-0.773790940866465
uihyr2cfbb3wc756zw8aqapxuik1,24mpd@gmail.com,37.0,TESSA FAC LOONEY TP3,personal hygiene,3,7500.0,2024-07-31,,110.436067866383,-0.773713421069531
ixjzypetoch9df2f26ne1d1oyi0m,e4io4@gmail.com,27.0,GATSBY CLG. D/OCN. 175,personal hygiene,4,22000.0,2024-11-17,,110.434532750851,-0.774253958006928
em1tb069kkesc17xqiv3cgw7fso4,628ho@gmail.com,52.0,B/P MANGGA HARUM MNS,makanan manis,1,10000.0,2024-05-04,,110.436139176979,-0.773809548238112
8d42f43dejwi6vygfm57ql8rr5vu,kdaox@gmail.com,27.0,KANZER BAKSO HOT 55G,makanan gurih,3,9000.0,2024-04-29,,110.437254101261,-0.773698014994284
q05g8vwfj98zwvz4vcduuxshs78j,hfxlf@gmail.com,51.0,TEREA PRPL WAVE 20S,unknown,4,30000.0,2024-11-04,,110.436672135805,-0.773316398138639
nzp2s5tjkru93kokd0l8wptr27yb,ymfe7@gmail.com,48.0,INDF IC RB RD VLT55,makanan pokok,1,4500.0,2024-11-30,,110.436604724856,-0.773521095438341
3j4yjipbdx5hp30phw2be28hq8hy,f059w@gmail.com,37.0,YUPI NEON 45G,makanan manis,1,5500.0,2024-07-19,,110.435528358855,-0.774316532194993
ydicxxezpopgwztsf2rhx3ito7wm,jxtcn@gmail.com,18.0,BENG2 SHARE 10S,makanan manis,4,16400.0,2024-09-04,,110.436266430748,-0.773362861506762
tys4ius4051q5y9478lz46zpmsk6,72df4@gmail.com,55.0,WETZ WIPES 30 GRNTEA,personal hygiene,2,17900.0,2024-04-25,,110.434702944278,-0.774456414949549
ka7t9nmqeli0r4f0hx4dwvmnxrbi,tqbho@gmail.com,24.0,ICHITAN MLK BRWN 300,minuman manis,4,9900.0,2024-01-30,,110.435919740208,-0.773172427257518
ss3spq1j1wrxgc8akuc6k9q7920r,xkeso@gmail.com,47.0,IDM KCNG BUMBU 150G,makanan pokok,3,9900.0,2024-06-18,,110.435985550837,-0.773322929699518
aocoaouae82a2n4njs23s5la63b3,smjmc@gmail.com,26.0,KANZER BAKSO HOT 55G,makanan gurih,3,9000.0,2024-05-04,,110.436600791851,-0.774243908680344
yc3b5tfmztyxia0hutaet44qe1k8,ai252@gmail.com,53.0,SQ GREENTEA 22G,makanan manis,1,13400.0,2024-01-06,,110.43531407656,-0.773851439292411
5ryba8186lg2epoi1sx71m5kalg2,65laz@gmail.com,28.0,KUSUKA LH 60G,makanan gurih,2,6500.0,2024-07-10,,110.435592834791,-0.77285658213345
6wtz0wtxonv5hukq3vq4l3c278ve,vaqyk@gmail.com,54.0,CHUPA BELT 8G,makanan manis,4,3000.0,2024-12-10,,110.436684142198,-0.7730281680646
hjndlyr86db26a84nbi8pepcv2tx,16vtv@gmail.com,56.0,ICHITAN MLK BRWN 300,minuman manis,3,9900.0,2024-07-19,,110.437443979938,-0.774141457428156
gk6y6crohgh7wkidxzvec490udi6,xdte5@gmail.com,26.0,S.BRD TA CHOCO FLAT,makanan manis,3,10000.0,2024-07-30,,110.437432279833,-0.772606304916098
uihyr2cfbb3wc756zw8aqapxuik1,24mpd@gmail.com,37.0,CHUPA GUM FR11G,makanan manis,3,5500.0,2024-12-26,,110.436736937155,-0.773930319480172
jxfq3lbfoagfo1a7v4usk15fp1em,uuqsb@gmail.com,40.0,YUPI NEON 45G,makanan manis,4,5500.0,2024-04-13,,110.435554970795,-0.773058972291521
94plj3fnifeu7vfeewcte1phij5y,b3elr@gmail.com,55.0,CHUPA BELT 8G,makanan manis,4,3000.0,2024-05-02,,110.436183227282,-0.772430308791416
x5s1tvrt9eisxillo73kgsq8jpiw,mmd4d@gmail.com,16.0,KNZLER SNGLES ORG 65,makanan gurih,4,9000.0,2024-06-02,,110.436305460898,-0.773170009520986
yss2fpc6uiw0iyvqvtd2s9w4fcge,5mx7o@gmail.com,50.0,WETZ WIPES 30 GRNTEA,personal hygiene,4,17900.0,2024-04-13,,110.433799650002,-0.773804114305338
q05g8vwfj98zwvz4vcduuxshs78j,hfxlf@gmail.com,51.0,KP POLOS,unknown,1,500.0,2024-12-06,,110.435167153278,-0.773691450615783
iw80wae9vysd0qv1pjtdff7i44h1,0p2q9@gmail.com,54.0,ULTRA FC 250 ML,minuman manis,3,7500.0,2024-02-22,,110.434264821476,-0.774265259525064
hg3g6i8mq66w77gn3pgk9yvrebdh,mezij@gmail.com,52.0,POKKA GREEN TEA 450,minuman manis,1,7300.0,2024-09-23,,110.434568641918,-0.774059000190164
zmi3b75y9g5fbe58vxr6uk4ylxg8,66ogl@gmail.com,35.0,POKKA GREEN TEA 450,minuman manis,2,7300.0,2024-09-17,,110.435759283264,-0.773303114300025
its4ymdgljyis2fi21nd9thsk8wa,xj7rr@gmail.com,56.0,S.BRD TA CHOCO FLAT,makanan manis,3,10000.0,2024-05-19,,110.435318801658,-0.773290304264623
zl8qm1xffy476k5w4aitzvqeaxwy,8bezk@gmail.com,16.0,S.BRD TA POLO KEJU,makanan pokok,2,9000.0,2024-01-05,,110.435976775329,-0.774639147422454
ubtegdtnbvgptbo1xpnw4n2cez0a,wckoi@gmail.com,54.0,KNZLER SNGLES ORG 65,makanan gurih,3,9000.0,2024-10-28,,110.435512747741,-0.773537190360667
tvjq46og8i101ewtbojsykg6i5ni,byr1g@gmail.com,57.0,NIPISMADU 330ML,minuman manis,2,3900.0,2024-10-14,,110.435773690866,-0.773034430662174
5qnoytiyjqih5rv99mnwctq6n27t,whbfo@gmail.com,16.0,CIMORY BLYC120G,minuman manis,1,8500.0,2024-11-17,,110.435393781474,-0.773294750924135
e7lwzpqywdlsu75v0oz4zipe2kou,q6lre@gmail.com,28.0,NIPISMADU 330ML,minuman manis,1,3900.0,2024-01-13,,110.435514394479,-0.773055205191227
zpkfkf8b77gsk0wft62kdrghi4xq,9yqpv@gmail.com,47.0,MD ALMOND RING,makanan manis,2,7500.0,2024-04-04,,110.435394032639,-0.772518451121448
wke808om4hhgkz8ip5mgwtr0txae,ij53d@gmail.com,55.0,YUPI NEON 45G,makanan manis,3,5500.0,2024-08-01,,110.435514906224,-0.773169395485021
25ydozrmz5evh0ulljb3e7aluhnn,aaex2@gmail.com,39.0,KUSUKA LH 60G,makanan gurih,2,6500.0,2024-08-31,,110.436146572004,-0.773578680775903
ydicxxezpopgwztsf2rhx3ito7wm,jxtcn@gmail.com,18.0,ULTRA FC 250 ML,minuman manis,3,7500.0,2024-08-17,,110.43549934118,-0.773146974769987
ftqoyk4fq7213ga30sh03yek1eha,4zvdi@gmail.com,58.0,ICHITAN MLK BRWN 300,minuman manis,2,9900.0,2024-02-20,,110.436317095338,-0.772024251424247
gk6y6crohgh7wkidxzvec490udi6,xdte5@gmail.com,26.0,YUPI NEON 45G,makanan manis,1,5500.0,2024-05-02,,110.436600303745,-0.774117756101775
uihyr2cfbb3wc756zw8aqapxuik1,24mpd@gmail.com,37.0,RTE ONGR AY PDS,makanan gurih,1,10000.0,2024-02-16,,110.435655297532,-0.773278436109353
26km9x5uo6ry4da6gkgrnhdbai31,b76c7@gmail.com,56.0,KUSUKA LH 60G,makanan gurih,3,6500.0,2024-12-09,,110.435873074388,-0.77324025073003
n872xpenii4xxqlhgnjnll6xviy6,kwdp2@gmail.com,19.0,WETZ WIPES 30 GRNTEA,personal hygiene,1,17900.0,2024-01-21,,110.436669909742,-0.773188362857927
6tidoowx22vgaljjdbq9zvpw8ici,jzjkc@gmail.com,29.0,KNZLER SNGLES ORG 65,makanan gurih,2,9000.0,2024-08-21,,110.434958368192,-0.773781756751961
0zibfx7nflamwhywmxj8k7tmf85c,scqai@gmail.com,56.0,OREO ORIGINAL 119.5G,makanan manis,4,10000.0,2024-11-16,,110.435726085343,-0.773250846851062
q56zijscb8v81p5bjk6eggzf3b76,uf8lp@gmail.com,46.0,LEMNRL AIR600ML,minuman sehat,4,3700.0,2024-12-05,,110.435459205477,-0.772245457639026
wso4if5wvizwn3gklu4dq2d3b7y4,o2j5l@gmail.com,53.0,AQUA AIR MINERAL 600,minuman sehat,1,3500.0,2024-04-24,,110.434933566926,-0.772786616153118
0zeaaai29i3737vq10oj4wlwbsc8,4k7dd@gmail.com,47.0,TESSA FAC LOONEY TP3,personal hygiene,4,7500.0,2024-11-17,,110.434739603961,-0.772261138383138
lupvky4hklys5b5sikjrd5a3ldut,gnqt7@gmail.com,48.0,INDF IC RB RD VLT55,makanan pokok,4,4500.0,2024-08-10,,110.436741897562,-0.77439106321307
gk6y6crohgh7wkidxzvec490udi6,xdte5@gmail.com,26.0,SR TWR SPC,makanan pokok,2,15000.0,2024-05-12,,110.435405134538,-0.772769453554493
iw80wae9vysd0qv1pjtdff7i44h1,0p2q9@gmail.com,54.0,MD ALMOND RING,makanan manis,2,7500.0,2024-09-26,,110.437293571348,-0.7731742454276
842uk8dmirxl4rxwl5s6m6boautu,9fz2v@gmail.com,50.0,S.BRD TA POLO KEJU,makanan pokok,3,9000.0,2024-07-07,,110.435606681563,-0.773238743971769
a0zr459ebcnatt72g96se9jszzid,nkh7o@gmail.com,35.0,INDF IC RB RD VLT55,makanan pokok,4,4500.0,2024-03-02,,110.436480615825,-0.771990308778468
x5s1tvrt9eisxillo73kgsq8jpiw,mmd4d@gmail.com,16.0,LEMNRL AIR600ML,minuman sehat,4,3700.0,2024-04-14,,110.437210814409,-0.772684262028359
zl8qm1xffy476k5w4aitzvqeaxwy,8bezk@gmail.com,16.0,S.BRD TA CHOCO FLAT,makanan manis,2,10000.0,2024-09-16,,110.43576494253,-0.773174354816407
tvjq46og8i101ewtbojsykg6i5ni,byr1g@gmail.com,57.0,AQUA AIR MINERAL 1500,minuman sehat,1,6600.0,2024-08-03,,110.43546615478,-0.773033306094998
zpkfkf8b77gsk0wft62kdrghi4xq,9yqpv@gmail.com,47.0,SQ GREENTEA 22G,makanan manis,2,13400.0,2024-01-11,,110.435963447635,-0.772779815778866
0zeaaai29i3737vq10oj4wlwbsc8,4k7dd@gmail.com,47.0,INDF IC RB RD VLT55,makanan pokok,2,4500.0,2024-09-07,,110.434659873326,-0.772990398806637
nzp2s5tjkru93kokd0l8wptr27yb,ymfe7@gmail.com,48.0,AQUA AIR MINERAL 1500,minuman sehat,2,6600.0,2024-07-02,,110.43683604351,-0.772623005550887
lgf2wkxftoxa4aip44rbhyyd7lks,ygbx4@gmail.com,55.0,AQUA AIR MINERAL 600,minuman sehat,4,3500.0,2024-01-11,,110.435042026988,-0.774127307246131
fnsi7etywup5uned0u2s1j9m60po,4lb4b@gmail.com,18.0,OREO ORIGINAL 119.5G,makanan manis,2,10000.0,2024-09-09,,110.435863839716,-0.773277949381361
14qezcf3sybmsfooo6bg6xt5byff,ulfqi@gmail.com,25.0,INDOMIE RDG 91G,makanan pokok,3,3100.0,2024-09-24,,110.435745444125,-0.773365210513453
8d42f43dejwi6vygfm57ql8rr5vu,kdaox@gmail.com,27.0,ULTRA FC 250 ML,minuman manis,2,7500.0,2024-02-13,,110.434828118062,-0.772916607148114
id4x78m5hyjovogxr61lbyppfu45,su5pt@gmail.com,29.0,SQ GREENTEA 22G,makanan manis,4,13400.0,2024-05-11,,110.436903491702,-0.773677638930442
0u9jhaabbtjmop736glbu208889f,ow0ny@gmail.com,48.0,WETZ WIPES 30 GRNTEA,personal hygiene,3,17900.0,2024-12-10,,110.434806126571,-0.772164287957038
14qezcf3sybmsfooo6bg6xt5byff,ulfqi@gmail.com,25.0,CHUPA BELT 8G,makanan manis,1,3000.0,2024-03-08,,110.436809361368,-0.773295126367707
vwgz1yxtelsye6ptwi8u9e2tppdj,oi5xs@gmail.com,34.0,GG SURYA CKT16,produk dewasa,2,36700.0,2024-10-03,,110.434525001155,-0.772530277584303
yc3b5tfmztyxia0hutaet44qe1k8,ai252@gmail.com,53.0,KUSUKA LH 60G,makanan gurih,2,6500.0,2024-04-08,,110.437556433817,-0.772870743677523
